drug_1,drug_2,severity,description
Warfarin,Aspirin,High,Combined use can increase bleeding risk
Warfarin,Plavix,High,Combined anticoagulant and antiplatelet therapy can increase bleeding risk
Aspirin,Plavix,Medium,Combined antiplatelet effect can increase bleeding risk
Advil,Warfarin,High,NSAIDs may increase bleeding risk with warfarin
Advil,Aspirin,Medium,Concurrent NSAID use can increase stomach bleeding risk
Prozac,Zoloft,High,Combined SSRI therapy can increase serotonin syndrome risk
Prozac,Xanax,Medium,May increase sedation and central nervous system effects
Zoloft,Xanax,Medium,May increase sedation and psychomotor impairment
Lipitor,Crestor,High,Concurrent statin use can increase muscle toxicity risk
Lisinopril,Diovan,High,Combined renin angiotensin system blockade can increase kidney and potassium risk
Amlodipine,Lisinopril,Low,Combination may have additive blood pressure lowering effects
